,easting,northing,distance,racmo_2m_air_temperature_kelvin,racmo_total_precipitation_mm_water_equivalent,racmo_runoff_mm_water_equivalent,racmo_snowmelt_mm_water_equivalent,racmo_sublimation_mm_water_equivalent,racmo_snowdrift_mm_water_equivalent,heat_flux,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday,measures_velocity_mperyear,racmo_total_mass_loss,racmo_mass_balance
616,-515424.4102666394,-1191001.8643922692,6162.978696565697,254.96130938572128,231.7294693491222,-1.4888540399905033e-06,112.99161945457126,1.1685225144226483,24.856074215306855,-4.692087332446295e+31,1363.5481937669124,803.2029330901897,560.3452606767229,1384.3509370011732,1384.2641270051445,0.0071432265938287,16.18959430670372,-1.1685240032766884,232.8979933523989
617,-515433.7219091478,-1191005.5236291806,6172.98353211207,254.9617505560781,231.81974795903088,-1.489894921403742e-06,113.01703903930512,1.1607959375791106,24.85742285337083,-4.69847493033405e+31,1363.4294690779218,803.4408816295988,559.9885874483231,1384.2250745852589,1384.2310645858418,0.0071541208463549045,16.219985584812626,-1.160797427474032,232.9805453865049
618,-515443.04073402775,-1191009.1645358482,6182.988367658442,254.9621910006257,231.90995193808777,-1.4907287594885851e-06,113.04242958871912,1.1530894070286295,24.858778683438267,-4.704868443636787e+31,1363.3112544974165,803.676930449508,559.6343240479081,1384.1746424469416,1384.1860785907131,0.007163407967784826,16.250431602314652,-1.153090897757389,233.06304283584515
619,-515452.3666885495,-1191012.7871412656,6192.9932032048155,254.9626306953645,232.00008076807276,-1.4913593176248983e-06,113.06778913932972,1.1454033044335532,24.860141734867828,-4.7112678361330805e+31,1363.1953473494093,803.9110447511629,559.2843025982467,1384.1706714659772,1384.1297802164077,0.007171081992831372,16.280932384070226,-1.1454047957928708,233.14548556386563
620,-515461.6997082309,-1191016.391505634,6202.998038751189,254.96306961727447,232.09013411952984,-1.4917903003804476e-06,113.09311576372104,1.13773797989552,24.861512012183315,-4.717673063487418e+31,1363.0833694695616,804.1431905488124,558.9401789207495,1384.060803551886,1384.0669700476883,0.0071771436819660665,16.311488133689203,-1.1377394716858205,233.22787359121565
621,-515471.03971615795,-1191019.9777228413,6213.002874297561,254.96350774439748,232.18011186961246,-1.49202534350029e-06,113.1184075738314,1.1300937493313046,24.86288949308101,-4.72408407277658e+31,1362.9767346842666,804.3733347108696,558.603399973397,1384.005229520052,1384.000971857109,0.007181600546428181,16.342099140983294,-1.130095241356648,233.31020711096912
622,-515480.3866768842,-1191023.5457795886,6223.007709843934,254.96394505191248,232.2700132407492,-1.4920681304714965e-06,113.14366259250751,1.122471026436192,24.86427423746144,-4.7305008395645625e+31,1362.876621798209,804.6014440425392,558.2751777556698,1383.9811137866677,1383.9325545862978,0.007184467399690222,16.372764486815818,-1.1224725185043223,233.3924857592535
623,-515489.7404605779,-1191027.0959109876,6233.0125453903065,254.9643815220712,232.35983897780818,-1.4919220866486398e-06,113.1688790795217,1.1148699890166036,24.865666112040298,-4.736923274446614e+31,1362.7839535006651,804.82748765301,557.9564658476548,1383.8846805528044,1383.8622281530572,0.007185765056336538,16.403482084062386,-1.1148714809386902,233.47471045874687
624,-515499.1009162052,-1191030.6284131792,6243.01738093668,254.96481713901767,232.44959021560592,-1.4915905029849995e-06,113.19405536420022,1.1072907536148469,24.867064935129314,-4.743351273361807e+31,1362.6993802524103,805.0514357957502,557.6479444566597,1383.7877966603676,1383.7912103113879,0.007185521036109778,16.43424908827691,-1.1072922452053497,233.55688246081127
625,-515508.4679084306,-1191034.143546022,6253.022216483053,254.96525188606788,232.53926788127427,-1.4910766229957943e-06,113.21918975603832,1.0997334668491445,24.868470551952882,-4.74978474298061e+31,1362.6232688374484,805.2732592219967,557.3500096154514,1383.724639494936,1383.7218649601605,0.0071837822098039334,16.4650617448553,-1.0997349579257676,233.63900283920003
626,-515517.84128594,-1191037.6416167922,6263.027052029426,254.96568574806105,232.62887320985777,-1.490383562581176e-06,113.24428062247253,1.0921982266006969,24.86988276970194,-4.756223578906892e+31,1362.5556959080418,805.4929297586455,557.0627661493965,1383.675961164078,1383.654911472754,0.007180665507602327,16.495915586996745,-1.0921997169842594,233.72107292684203
627,-515527.2208950477,-1191041.1229443622,6273.031887575799,254.9661187103608,232.71840752485164,-1.4895143405906687e-06,113.26932635627057,1.084685115560813,24.871301385205495,-4.762667675038164e+31,1362.4964426721072,805.7104200570037,556.7860226151034,1383.5532597297447,1383.589739880841,0.007176309458742462,16.52680536456061,-1.0846866050751536,233.8030941299268
628,-515536.60659488686,-1191044.5878178214,6283.036723122172,254.96655075768655,232.80787197980285,-1.4884719262363282e-06,113.29432533649224,1.0771942403443537,24.872726217017135,-4.769116934025667e+31,1362.444593814134,805.9257003865948,556.5188934275391,1383.4892764728475,1383.528203258356,0.00717085144292931,16.55772496310144,-1.07719572881628,233.88506770861915
629,-515545.9981202936,-1191048.0368697895,6293.041558668544,254.96698188470145,232.897269894549,-1.4872587928621812e-06,113.3192762843663,1.0697253776415816,24.874156815047865,-4.775571172842363e+31,1362.3983119193267,806.1387376496183,556.2595742697088,1383.4884348371868,1383.4729565038044,0.007164426047826895,16.588668327679095,-1.0697268649003744,233.96699675944936
630,-515555.3952522546,-1191051.4706171423,6303.046394214917,254.96741208304454,232.9866038988389,-1.4858774219953158e-06,113.34417783077954,1.062278408181453,24.875592817111812,-4.782030240130551e+31,1362.3557690216123,806.3494964946444,556.0062725269677,1383.4247019389697,1383.4219024810184,0.007157166542732293,16.619628403554458,-1.062279894058875,234.04888379289775
631,-515564.7977543309,-1191054.8896326434,6313.05122976129,254.96784134618468,233.0758770021076,-1.4843301080303162e-06,113.36902867881946,1.0548531543390331,24.87703381543331,-4.788493972425436e+31,1362.3152789826524,806.5579411655544,555.7573378170978,1383.4296898624416,1383.3695510896785,0.0071492040284451336,16.650597551867293,-1.054854638669141,234.13073164077673
632,-515574.2053724087,-1191058.2945463895,6323.056065307664,254.96826966947208,233.16509260613557,-1.482618946604612e-06,113.39382760632505,1.0474493784796577,24.87847935526758,-4.794962193974562e+31,1362.2753133134127,806.7640354987086,555.5112778147038,1383.3794108480497,1383.3095939854863,0.007140667238433455,16.68156739058219,-1.0474508610986042,234.21254346723418
