,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
2287,-525625.4093411705,-1195453.7790762316,22881.4090500929,256.03541637220985,342.266427541927,-0.0003006737362148176,160.93327740551968,-14.990106672618953,1256.999989904492,592.2677295548724,664.7322603496195,1260.155017014368,1260.1772053693307,0.021667457158564482
2288,-525633.5471860786,-1195459.5993226506,22891.414038746207,256.03697883261646,342.35934696109695,-0.00026693908729327943,160.9998005481583,-15.018036585012863,1256.8356146483952,592.2014713643164,664.6341432840792,1259.9989725088321,1260.0360061620302,0.0216762901770618
2289,-525641.6799583932,-1195465.4266549505,22901.4190273995,256.03853879091525,342.4522921069466,-0.00023249116440778094,161.06625784251358,-15.045937696581568,1256.6686550269465,592.1353992183738,664.5332558085728,1259.8953111005483,1259.895062886099,0.02168267923858818
2290,-525649.8081054289,-1195471.2604370723,22911.4240160528,256.0400962554438,342.54525692763775,-0.00019735684223456658,161.13265150556217,-15.073809077914543,1256.4990245678205,592.0694543674397,664.4295702003809,1259.7487378966,1259.7546007266592,0.021686651387145872
2291,-525657.9318901617,-1195477.1002926694,22921.429004706093,256.0416512293152,342.6382404022927,-0.00016156267273288258,161.1989838232568,-15.101649759305607,1256.3266200621379,592.0035799965857,664.3230400655523,1259.5661198564885,1259.6164581347696,0.021688238902584984
2292,-525666.050990194,-1195482.9466597291,22931.433993359395,256.04320369489,342.7312574103091,-0.00012513408454701067,161.26525708124694,-15.129458573380834,1256.1514353917726,591.9377329478016,664.2137024439706,1259.4513643375992,1259.4811844336202,0.021687481231232517
2293,-525674.1664004523,-1195488.7981474195,22941.43898201269,256.0447536867294,342.82428698998683,-8.809966808329436e-05,161.33147384760545,-15.157234882285534,1255.9735853754757,591.8718478193839,664.1017375560918,1259.3301348916766,1259.3490511728633,0.0216844161327632
2294,-525682.2784033646,-1195494.6543579404,22951.44397066599,256.0463012136935,342.9173275750585,-5.048631941617683e-05,161.39763667046864,-15.184977802018919,1255.7931495082025,591.8058724816425,663.98727702656,1259.2338977445727,1259.220861223973,0.021679089233434562
2295,-525690.3871654579,-1195500.5150551484,22961.448959319292,256.04784628171166,343.0103807310057,-1.2320751136799985e-05,161.46374815851604,-15.212686427020676,1255.61015514025,591.7397562055206,663.8703989347295,1259.0777682850696,1259.0968115278536,0.021671551275264437
2296,-525698.4927612821,-1195506.3801307452,22971.453947972583,256.04938889465785,343.1034504956647,2.6370432232327204e-05,161.52981098116402,-15.240359838258685,1255.4245784721084,591.673449323776,663.7511291483322,1258.9518414861661,1258.9747533327625,0.021661862369543206
2297,-525706.5958711426,-1195512.2486404222,22981.458936625884,256.05092908111914,343.1965245026643,6.555966214577827e-05,161.5958279811868,-15.267997373146418,1255.2363442062126,591.6068886717895,663.6294555344228,1258.8965291126428,1258.8516866435214,0.02165009756151907
2298,-525714.6967691729,-1195518.1202030017,22991.463925279186,256.05246685537884,343.28960138893757,0.00010522025650681805,161.6618020050632,-15.295598231539234,1255.0453317052365,591.5400184754068,663.5053132298295,1258.699177033611,1258.724348703743,0.021636340197817728
2299,-525722.7955919894,-1195523.9946277076,23001.46891393248,256.05400222771846,343.38268349681516,0.0001453258523818045,161.72773594251427,-15.323161578687731,1254.8513770838522,591.4727850608818,663.3785920229705,1258.596403779906,1258.5912913065074,0.021620677942320296
2300,-525730.8926412419,-1195529.8714968136,23011.473902585778,256.05553521598176,343.4757687024802,0.0001858500261060538,161.79363277436636,-15.350686661800486,1254.6543055755947,591.4051328379137,663.2491727376805,1258.4989726813012,1258.4545197121852,0.021603201303387477
2301,-525738.9883516849,-1195535.7502100784,23021.478891239083,256.0570658442222,343.56885129222985,0.00022676648370711184,161.85949556295492,-15.378172795681346,1254.4542105019957,591.3370250916196,663.1171854103764,1258.3079797510236,1258.3175529478228,0.021584003697371075
2302,-525747.082977926,-1195541.6304161618,23031.483879892374,256.0585941306438,343.66193041203326,0.0002680494529816111,161.92532739604704,-15.405619240309832,1254.2514114485896,591.2684418503188,662.9829695982705,1258.12866096974,1258.1845108442162,0.021563182729989066
2303,-525755.1766937358,-1195547.5118753496,23041.488868545675,256.0601200913886,343.75500737882766,0.0003096735372197987,161.9911314007148,-15.433025238892178,1254.046320208478,591.1993661389074,662.8469540695703,1258.037517259297,1258.0576937511269,0.021540839621138504
2304,-525763.2698528033,-1195553.394100625,23051.49385719897,256.0616437503731,343.8480786612392,0.0003516135665438591,162.05691078201562,-15.460390116354661,1253.839429596417,591.1297780549759,662.7096515414411,1257.9769893255511,1257.9359965545973,0.021517077963335813
2305,-525771.3627264693,-1195559.2767185594,23061.49884585227,256.0631651292229,343.9411429445924,0.0003938448718881423,162.1226687759473,-15.487713177352804,1253.6313044733456,591.0596605756442,662.5716438977012,1257.8285452204639,1257.8157804402258,0.021492004752782887
2306,-525779.4555458039,-1195565.15941124,23071.503834505565,256.06468424883474,344.0341999948031,0.00043634326350243516,162.1884086532994,-15.514993721759446,1253.4225708074018,590.988998687238,662.4335721201638,1257.685433010613,1257.6924897117262,0.0214657300797495
2307,-525787.5485963302,-1195571.0417858523,23081.508823158867,256.0662011328667,344.1272481123359,0.00047908503856198675,162.25413373021655,-15.542231078986811,1253.2139035089667,590.9177772313441,662.2961262776224,1257.5242955280476,1257.5646570175286,0.021438366612046955
2308,-525795.6420877554,-1195576.923553814,23091.51381181216,256.0677158027861,344.2202876334078,0.0005220470627078606,162.3198473449838,-15.569424558299715,1253.0060141697172,590.8459839134588,662.160030256258,1257.4353200282596,1257.4352007446064,0.021410030018461458
2309,-525803.7362231376,-1195582.8044355628,23101.518800465463,256.0692282804196,344.3133190699877,0.000565206775785037,162.3855528652308,-15.596573473973052,1252.799637065315,590.7736077484057,662.0260293169096,1257.2990143736242,1257.305970980661,0.021380838551616616
2310,-525811.8312885407,-1195588.6840370523,23111.52378911876,256.07073859116787,344.4063407053581,0.0006085422605862475,162.45125369520258,-15.6236771761207,1252.5955140198848,590.7006369270217,661.8948770928632,1257.1136558398578,1257.1750517192788,0.021350912570640573
2311,-525819.9275145028,-1195594.562040329,23121.528777772062,256.07224675879996,344.49935231411365,0.0006520322873336547,162.5169532528342,-15.650734999035077,1252.394379322014,590.6270620722587,661.7673172497553,1257.0314143170033,1257.0385921832924,0.021320374979792247
2312,-525828.0249923315,-1195600.438318906,23131.53376642536,256.07375280286146,344.59235756308334,0.0006956563300809813,162.58265497371457,-15.677746236352162,1252.1969435416881,590.5528783298386,661.6440652118494,1256.8711163914895,1256.898333971717,0.021289351407479593
2313,-525836.1238847735,-1195606.3126476707,23141.53875507865,256.0752567494975,344.68535957682025,0.0007393949440012358,162.64836243792422,-15.70471024337608,1252.0038749370674,590.4780803432612,661.5257945938065,1256.7495207646793,1256.7626215003977,0.0212579692455623
2314,-525844.224651166,-1195612.1843919435,23151.543743731952,256.07675863695647,344.77835424610447,0.0007832294652390219,162.7140792913853,-15.731626486953687,1251.8157796712217,590.4026566193321,661.4131230518894,1256.6446308133716,1256.6385788612945,0.02122635671401283
2315,-525852.3271729874,-1195618.053713583,23161.54873238525,256.07825848227554,344.87135296849965,0.0008271410737798772,162.7798090881749,-15.758494231313849,1251.6331867800222,590.3266109967317,661.3065757832903,1256.5099497617873,1256.5242044251804,0.021194645995855046
2316,-525860.4315702835,-1195623.9204452832,23171.55372103855,256.07975631057576,344.9643607610976,0.0008711113115644456,162.84555537096415,-15.785312816400701,1251.4565235767082,590.2499427225702,661.2065808541378,1256.4508031251764,1256.4111458612658,0.021162970013891315
2317,-525868.5381722379,-1195629.784130203,23181.55870969185,256.0812521536566,345.0573770583854,0.0009151222167518021,162.91132165584756,-15.812081640674625,1251.2860788131084,590.1726497943387,661.1134290187695,1256.30824320242,1256.2929887528678,0.0211314624831835
2318,-525876.6470614221,-1195635.6446516872,23191.563698345148,256.08274603401037,345.1504079168925,0.000959155864963957,162.97711139858163,-15.838800013879222,1251.1219027586742,590.0947570130108,661.0271457456633,1256.1013019378458,1256.1687075466664,0.021100259404173333
2319,-525884.7581542113,-1195641.5021229312,23201.568686998446,256.08423796790146,345.24346385118116,0.0010031943454069023,163.04292800807772,-15.865467188735213,1250.9636548318645,590.0162978340286,660.9473569978356,1255.9652229789217,1256.0450240284551,0.02106949856966329
2320,-525892.8716089805,-1195647.3563220643,23211.573675651744,256.08572797932726,345.33654891136763,0.0010472203174921389,163.10877486372615,-15.892082485621362,1250.8103963918447,589.9372902779443,660.8731061139005,1255.886007862908,1255.9301892081014,0.021039318041315216
2321,-525900.987753615,-1195653.2067914512,23221.578664305038,256.0872160971716,345.42966263237787,0.0010912170524616817,163.1746552994944,-15.918645262744478,1250.6610946880387,589.8577456995816,660.8033489884572,1255.8007776424297,1255.8276153105558,0.021009856338378968
2322,-525909.1062800046,-1195659.053955247,23231.58365295834,256.08870232841673,345.5228215702999,0.0011351670878826474,163.24057259351267,-15.94515468708951,1250.5147258195857,589.777690772809,660.7370350467763,1255.7337305062524,1255.7343604167463,0.02098125484050283
2323,-525917.2272096211,-1195664.8977808778,23241.58864161164,256.0901866906089,345.6160334718835,0.0011790537297745852,163.3065299907423,-15.971610017067661,1250.370295052557,589.6971424660109,660.6731525865458,1255.6436645899078,1255.6417420748853,0.020953654500953656
2324,-525925.3509685779,-1195670.737672673,23251.59363026493,256.0916692136386,345.7092952839809,0.0012228614193688975,163.3725306795913,-15.998010608532677,1250.2268588819434,589.6161055763893,660.610753305554,1255.5203252810431,1255.5437189318993,0.020927195632870935
2325,-525933.4771590864,-1195676.574180454,23261.598618918237,256.0931499000537,345.80262598307587,0.001266573325905022,163.4385778159362,-16.024355590689556,1250.0835484351903,589.5346052794349,660.5489431557556,1255.3959140356787,1255.4404969955024,0.02090202137630089
2326,-525941.6057115715,-1195682.4073982777,23271.603607571535,256.0946287626323,345.89603577241303,0.0013101735115655156,163.50467451093576,-16.050644178176235,1249.9395814042257,589.4526566644072,660.4869247398187,1255.3042139203633,1255.3356838300044,0.020878274068560822
2327,-525949.7368777753,-1195688.2369721774,23281.60859622483,256.0961058235279,345.98952628461683,0.0013536471211225056,163.57082380997375,-16.076875655508484,1249.7942760652106,589.3702644822523,660.4240115829585,1255.261752287061,1255.2308690949594,0.020856095272412025
2328,-525957.870404438,-1195694.0632522758,23291.61358487813,256.09758108857756,346.0831126223257,0.0013969784572436333,163.63702873936458,-16.10304918240346,1249.6470642736465,589.287445553049,660.359618720598,1255.1671716444832,1255.1226627082788,0.020835627838714958
2329,-525966.0060669237,-1195699.8865496179,23301.618573531425,256.0990545812912,346.1768062266271,0.0014401437526272835,163.70329246051782,-16.129164482444995,1249.4974977398176,589.2042144287154,660.293283311102,1255.0120605906855,1255.0064051886698,0.020817014229477095
2330,-525974.1439493077,-1195705.7067443314,23311.623562184723,256.10052636859206,346.270604365769,0.0014831041521379932,163.76961839496963,-16.155222478487246,1249.34525290771,589.1205754487141,660.2246774589956,1254.917053651402,1254.8821697718627,0.020800395746755677
2331,-525982.2838813184,-1195711.5240721891,23321.628550838017,256.1019965124286,346.364510332584,0.0015258205712892785,163.83600992872954,-16.18122416016891,1249.190134642111,589.0365383171527,660.1535963249582,1254.7891831610477,1254.7578613770972,0.02078591375293137
2332,-525990.4255263519,-1195717.3390023576,23331.63353949132,256.1034650684829,346.45853180431163,0.0015682559568528359,163.90247037178622,-16.20717047085014,1249.0320756137266,588.9521158737983,660.079959739928,1254.5992639039353,1254.6406728944564,0.020773709189669427
2333,-525998.5688156105,-1195723.1516297376,23341.63852814462,256.10493209888887,346.5526692871478,0.0016103764275673222,163.96900290830996,-16.233062392803557,1248.8711328577012,588.8673117661976,660.0038210915037,1254.5244315049208,1254.5308313811472,0.020763921497227864
2334,-526006.7135838303,-1195728.9621846178,23351.64351679792,256.1063976615248,346.6469258199142,0.0016521502032882751,164.03561063981442,-16.258900874119373,1248.7074827143015,588.7821307308276,659.9253519834735,1254.4770160952887,1254.4211972614892,0.02075667938038792
2335,-526014.8594389721,-1195734.7712156472,23361.648505451216,256.1078618066015,346.74131042096286,0.001693547083015997,164.1022966143573,-16.284686811584507,1248.5414125072368,588.6965825484685,659.8448299587683,1254.3273912512245,1254.3026954154939,0.020752042333792475
